ingi sweswi hi yile kambirhi	we would now have returned twice
Kutani tata wa vona Yakobo a ku ka vona	Then their father Israel said to them
Hiswona	If it must be so
leswi timhaka ti yimeke hi ndlela leyi	then do this
endlani leswi	take some of the choice fruits of the land in your bags
Longani swilo swo saseka leswi kumekaka kwala tikweni	and carry a present down to the man
mi rhwala mi famba na swona	a little balm and a little honey
mi ya nyika nkulukumba luya	gum
Tekani mirhi ya nkoka ni ya risuna ya tinxaka-xaka	myrrh
ni vulombenyana	pistachio nuts
ni mihandzu ya murhi wa alimondi	and almonds
Loko va ri karhi va yisiwa emutini lowu	And the men were afraid because they were brought to Joseph's house
va sungula ku chava va ku	and they said
Hi tisiwa haleno hikwalaho ka mali leyi tlherisiweke yi vekiwa emasakeni ya hina	It is because of the money
wanuna loyi ú lava ndlela yo hi khoma	which was replaced in our sacks the first time
a hi endla mahlonga	that we are brought in
a hi tekela ni timbhongolo	so that he may assault us and fall upon us to make us servants and seize our donkeys
Kambe loko hi ntshunxa masaka ya hina laha hi fikeke hi etlela kona	And when we came to the lodging place we opened our sacks
un'wana ni un'wana wa hina ú kumile mali ya yena hinkwayo enon'weni wa saka ra yena	and there was each man's money in the mouth of his sack
kutani sweswi hi te na yona mali ya kona	our money in full weight
Naswona hi te na yin'wana mali yo ta xava ha yona swakudya	and we have brought other money down with us to buy food
A hi tivi leswaku a nga va a ri mani loyi a ngheniseke mali ya hina emasakeni ya hina	We do not know who put our money in our sacks
Kutani mulanguteri a va nghenisa endlwini	And when the man had brought the men into Joseph's house and given them water
a va nyika mati va hlamba milenge	and they had washed their feet
a tlhela a nyika timbhongolo ta vona swakudya swa tona	and when he had given their donkeys fodder
kutani vona va lulamisa tinyiko leti va nga ta ti humesela Yosefa loko a fika ninhlekanhi	they prepared the present for Joseph's coming at noon
hikuva a va swi twile leswaku va ta dya eka Yosefa	for they heard that they should eat bread there
Loko Yosefa a tlakusa mahlo	And he lifted up his eyes and saw his brother Benjamin
o vona makwavo Benjamini	his mother's son
yena loyi va mameke vele rin'we	and said
Kutani Yosefa a ku	Is this your youngest brother
Xana loyi hi yena ndzisana ya n'wina	of whom you spoke to me
loyi mi ndzi byeleke yena xana	God be gracious to you
Xikwembu a xi ve na wena n'wananga!	my son!
Kuteloko Yosefa a hlambile xikandza	Then he washed his face and came out
a huma a ri karhi a ringeta ku tikhoma	And controlling himself he said
a ku	Serve the food
Yosefa va n'wi phamela a dyela etlhelo a ri yexe	They served him by himself
kasi vamakwavo na vona va phameriwa etlhelo va ri voxe	and them by themselves
hambi va ri Vaegipta va dyela etlhelo va ri voxe	and the Egyptians who ate with him by themselves
hikuva Vaegipta a va dyi swakudya swin'we ni Vaheveru	because the Egyptians could not eat with the Hebrews
sweswo swa yila eka Vaegipta	for that is an abomination to the Egyptians
Vamakwavo wa Yosefa a va tshamisiwile emahlweni ka yena hi ku tlhandlamana ka vona	And they sat before him
ku sungula hi mativula ku ya hetelela hi rikotse	the firstborn according to his birthright and the youngest according to his youth
Kutani va langutana va ri karhi va hlamala	And the men looked at one another in amazement
Kutani esakeni ra lontsongo wa kona	and put my cup
u veka xinwelo xa mina lexa silivhere	the silver cup
kusuhi ni nomo wa rona	in the mouth of the sack of the youngest
ni mali leyi a a tile ku ta xava koroni hi yona	with his money for the grain
Kutani lowa mulanguteri a endla hilaha Yosefa a n'wi leriseke hakona	And he did as Joseph told him
Kuteloko va lerile nimixo	As soon as the morning was light
vamakwavo wa Yosefa va khoma ndlela va famba ni timbhongolo ta vona	the men were sent away with their donkeys
Loko mulanguteri a va kuma	When he overtook them
a vulavula na vona hi mukhuva wolowo	he spoke to them these words
Hiloko hinkwavo va hatla va ehlisa masaka ya vona	Then each man quickly lowered his sack to the ground
kutani un'wana na un'wana a ntshunxa ra yena	and each man opened his sack
Hiloko va handzulela swiambalo swa vona	Then they tore their clothes
va rhwexa timbhongolo nakambe	and every man loaded his donkey
va tlhelela emutini	and they returned to the city
Loko Yuda ni vamakwavo va fika emutini wa Yosefa	When Judah and his brothers came to Joseph's house
va kuma Yosefa a ha ri kona	he was still there
kutani va tiwisela hansi emahlweni ka yena	They fell before him to the ground
Yosefa a ku ka vona	Joseph said to them
I mhaka muni leyi mi yi endleke xana	What deed is this that you have done
Xana a mi swi tivi leswaku ndzi munhu la kotaka ku femba xana	Do you not know that a man like me can indeed practice divination
Yuda a ku	And Judah said
Xana hi nga vula yini	What shall we say to my lord
we n'wini wanga	What shall we speak
A ha ha ri na nomo	Or how can we clear ourselves
hi nge kaneti leswaku hi ni nandzu hikuva i Xikwembu lexi boxeke nandzu wa hina malandza ya wena	God has found out the guilt of your servants
We n'wini wanga	behold
hinkwerhu hi mahlonga ya wena	we are my lord's servants
ku katsa ni loyi xinwelo xi kumekeke eka yena	both we and he also in whose hand the cup has been found
Hiloko wena u ta ku ka hina malandza ya wena	Then you said to your servants
‘N'wi tiseni haleno	'Bring him down to me
leswaku ndzi ta n'wi vona	that I may set my eyes on him
’	'
Kutani hina hi ku ka wena n'wini wanga	We said to my lord
‘Swi nga ka swi nga endleki leswaku mufana loyi a hambana na tatana	'The boy cannot leave his father
hikuva loko o suka	for if he should leave his father
tatana a nga fa	his father would die
’	'
Hiloko wena u ku ka hina malandza ya wena	Then you said to your servants
‘Loko mo ka mi nga vuyi na ndzisana ya n'wina	'Unless your youngest brother comes down with you
mina mi nga ka mi nga ha ndzi voni	you shall not see my face again
’	'
hi hlamurile hi ku	we said
‘Hi ta ya ntsena loko ndzisana ya hina a famba swin'we na hina	'We cannot go down
ehandle ka swona hi nga ka hi nga yi	If our youngest brother goes with us
hikuva hi nge pfumeleriwi ku vonana ni wanuna luya	then we will go down
loko ndzisana ya hina hi nga ri na yona	For we cannot see the man's face unless our youngest brother is with us
’	'
Loko mo teka ni loyi mi famba na yena	If you take this one also from me
kutani a ya humelela hi khombo	and harm happens to him
mi ta va mi ndzi vangele ku fa hi mbitsi eku dyuhaleni ka mina	you will bring down my gray hairs in evil to Sheol
’	'
Ndzi nga ka ndzi nga swi koti ku tlhelela eka tatana	Now therefore
yena nandza wa wena	as soon as I come to your servant my father
ndzi nga ri na yena mufana loyi	and the boy is not with us
hikuva hi yena a khomeke vutomi bya tatana	then
Loko tatana a vona leswaku mufana loyi a nga kona exikarhi ka hina	as soon as he sees that the boy is not with us
ú to fela kwalaho	he will die
kutani hina malandza ya wena hi ta va hi vangele tatana ku fa hi mbitsi eku dyuhaleni ka yena	and your servants will bring down the gray hairs of your servant our father with sorrow to Sheol
Loko u ri kwala	There I will provide for you
ndzi ta kota ku ku nyika swakudya	for there are yet five years of famine to come
hikuva ka ha ta va ni malembe ya ntlhanu ya ndlala	so that you and your household
kutani u nga sika	and all that you have
wena ni ndyangu wa wena ni swifuwo swa wena hinkwaswo	do not come to poverty
’	'
Kutani hosi Faro a byela Yosefa a ku	And Pharaoh said to Joseph
Tivisa vamakwenu leswaku mina Faro ndzi ri	Say to your brothers
‘Rhwexani swifuwo swa n'wina	'Do this
mi tlhelela etikweni ra Kanana	load your beasts and go back to the land of Canaan
Mi nga tshuki mi kanakana hi tlhelo ra leswi mi nga ta swi siya	Have no concern for your goods
hikuva swilo leswo saseka etikweni hinkwaro ra Egipta swi ta va swa n'wina	for the best of all the land of Egypt is yours
’	'
Yosefa a nyika un'wana ni un'wana wa vona xiambalo xo ncinca ha xona	To each and all of them he gave a change of clothes
kambe Benjamini yena a n'wi nyika mali ya tisilivhere ta 300	but to Benjamin he gave three hundred shekels of silver and five changes of clothes
Rhuveni	Reuben
na Simiyoni	Simeon
na Levhi	Levi
na Yuda	and Judah
na Isakara	Issachar
na Zebuloni	Zebulun
na Benjamini	and Benjamin
Vana va Yakobo ni vatukulu va yena hinkwavo a va ri 70	All the descendants of Jacob were seventy persons
ku katsa na Yosefa loyi a ku ri khale a ri etikweni ra Egipta	Joseph was already in Egypt
Loko ku hundzile nkarhi	Now there arose a new king over Egypt
ku vekiwa hosi leyintshwa etikweni ra Egipta	who did not know Joseph
Hiloko Vaegipta va veka valanguteri	Therefore they set taskmasters over them to afflict them with heavy burdens
leswaku va xanisa Vaisraele hi ku va rhwexa mintirho yo tika	They built for Pharaoh store cities
Kutani Vaisraele va akela Faro miti ya Pitomu na Ramsese yo hlayisela tinhundzu ta yena eka yona	Pithom and Raamses
va va xanisa hi ku va nyika mintirho leyo tika ya ku pfuva ndzhope ni ku endla switina	and made their lives bitter with hard service
va va nyika ni mintirho ya tinxaka-xaka ya le masin'wini	in mortar and brick
Emintirhweni leyi hinkwayo	and in all kinds of work in the field
a va va tirhisa hi tihanyi letikulu	In all their work they ruthlessly made them work as slaves
Loko mi ri karhi mi pfuna vavasati va Vaheveru eku tintshunxeni ka vona	When you serve as midwife to the Hebrew women and see them on the birthstool
langutani swinene n'wana leswaku i wa yini	if it is a son
Loko a ri wa mufana	you shall kill him
n'wi dlayeni! Kambe loko a ri wa nhwanyana	but if it is a daughter
n'wi tshikeni a hanya	she shall live
Naswona Xikwembu xi andzisa mindyangu ya lava va tisungukati	And because the midwives feared God
hikuva a va xi kombile xichavo	he gave them families
Kakuloko n'wana Faro wa wanhwana a ta enambyeni ku ta hlamba	Now the daughter of Pharaoh came down to bathe at the river
a vona xibokisana exikarhi ka nhlanga	while her young women walked beside the river
malandza ya yena ya xisati a ma ri karhi ma famba-famba eribuweni ra nambu	She saw the basket among the reeds and sent her servant woman
kutani n'wana Faro a rhuma un'wana wa vona ku ya teka xibokisana	and she took it
N'wana Faro a hlamula a ku	And Pharaoh's daughter said to her
Hiswona	Go
yana! Hiloko lowa nhwanyana a ya a ya vitana mana wa xihlangi	So the girl went and called the child's mother
Yena a hlamula a ku	He answered
Xana u vekiwile hi mani ku va ndhuna ni mulamuri wa hina xana	Who made you a prince and a judge over us
Xana u lava ku ndzi dlaya ku fana ni Muegipta loyi u n'wi dlayeke xana	Do you mean to kill me as you killed the Egyptian
Kavaloko Muxe a khomiwa hi ku chava	Then Moses was afraid
kutani a vulavula hi mbilu	and thought
a ku	Surely the thing is known
Kambe ku humelela varisi van'wana va fika va va hlongorisa	The shepherds came and drove them away
kutani Muxe a suka a ya lamulela vanhwanyana lava	but Moses stood up and saved them
a nwisa ni swifuwo swa vona	and watered their flock
Loko va fika ekaya	When they came home to their father Reuel
tata wa vona Yetro a va vutisa a ku	he said
Namuntlha swi lo yini mi ngo hatlisa ku vuya xana	How is it that you have come home so soon today
Kutani Muxe a pfumela ku tshama eka munhu loyi	And Moses was content to dwell with the man
hiloko a nyika Muxe Sipora n'wana wa yena leswaku a va nsati wa yena	and he gave Moses his daughter Zipporah
Loko Xikwembu xi twa ku konya ka vona	And God heard their groaning
xi tsundzuka ntwanano wa xona na Abrahama	and God remembered his covenant with Abraham
na Isaka	with Isaac
na Yakobo	and with Jacob
Kutani ntsumi ya HOSI Xikwembu yi tikomba eka yena yi ri exihlahleni	And the angel of the LORD appeared to him in a flame of fire out of the midst of a bush
yi fana ni langavi ra ndzilo	He looked
Loko Muxe a xiyisisa	and behold
a vona leswaku xihlahla xa vuvumela	the bush was burning
kambe a xi tshwi	yet it was not consumed
Xikwembu xi ku	Then he said
U nga tshuki u tshinela haleno	Do not come near
Hluvula tintanghu	take your sandals off your feet
hikuva laha u yimaka kona i misava leyi hlawulekeke	for the place on which you are standing is holy ground
Xi engeta xi ku	And he said
Hi mina Xikwembu xa vatata wa wena	I am the God of your father
xi nga Xikwembu xa Abrahama	the God of Abraham
na Isaka	the God of Isaac
na Yakobo	and the God of Jacob
Kavaloko Muxe a tisiva mombo	And Moses hid his face
hikuva a a chava ku languta Xikwembu	for he was afraid to look at God
Kutani Xikwembu xi ku ka Muxe	God said to Moses
NDZI LOYI NDZI NGA YENA! Xi engeta xi ku	I AM WHO I AM
U ta ku ka vanhu va Israele	And he said
‘La vuriwaka NDZI YENA	Say this to the people of Israel
ú ndzi rhumile eka n'wina	'I AM has sent me to you
’	'
Famba u ya hlengeleta vakulukumba va Israele	Go and gather the elders of Israel together and say to them
u va byela leswaku mina HOSI Xikwembu xa vatata wa vona ndzi nga Xikwembu xa Abrahama	'The LORD
na Isaka	the God of your fathers
na Yakobo	the God of Abraham
ndzi tikombile eka wena	of Isaac
va byele leswaku ndzi tile ka vona hakunene	and of Jacob
ni leswi vanhu va Egipta va va endlaka swona	has appeared to me
ndzi swi vonile	saying
Kutani ndzi tshembisa leswaku ndzi ta va humesa emaxangwini ya Egipta	and I promise that I will bring you up out of the affliction of Egypt to the land of the Canaanites
ndzi va yisa etikweni ra Vakanana	the Hittites
ni Vahiti	the Amorites
ni Vaamori	the Perizzites
ni Vaperesi	the Hivites
ni Vayebusi	and the Jebusites
ri nga tiko leri khulukaka ntswamba ni vulombe	a land flowing with milk and honey
Vakulukumba va Israele va ta pfumela leswi u nga ta va byela swona	And they will listen to your voice
kutani va ta ya na wena eka hosi ya Egipta	and you and the elders of Israel shall go to the king of Egypt and say to him
mi ku ka yona	'The LORD
‘HOSI Xikwembu	the God of the Hebrews
xi nga Xikwembu xa Vaheveru	has met with us
xi tikombile eka hina	and now
kutani sweswi hi kombela ku teka riendzo ra masiku manharhu	please let us go a three days' journey into the wilderness
hi ya emananga hi ya humesela HOSI Xikwembu xa hina emagandzelo	that we may sacrifice to the LORD our God
’	'
Wansati un'wana ni un'wana wa Muisraele ú ta ya a ya kombela swo bomba ha swona swa silivhere ni nsuku	but each woman shall ask of her neighbor
ni swiambalo	and any woman who lives in her house
eka wansati wa Muegipta la akeke kusuhi na yena ni ka lava luveleke emutini wa kona	for silver and gold jewelry
kutani mi ta ambexa vana va n'wina va majaha ni vanhwana	and for clothing
Hi ndlela leyi	You shall put them on your sons and on your daughters
mi ta tekela Vaegipta swilo swa vona	So you shall plunder the Egyptians
Hiloko HOSI Xikwembu xi ku	The LORD said to him
U khome yini kwalaho xana	What is that in your hand
Muxe a ku	He said
I nhonga	A staff
Xikwembu xi ku	that they may believe that the LORD
Leswi swi ta khorwisa Vaisraele leswaku ndzi tikombile eka wena	the God of their fathers
mina HOSI Xikwembu xa vatata wa vona	the God of Abraham
ndzi nga Xikwembu xa Abrahama	the God of Isaac
na Isaka	and the God of Jacob
na Yakobo	has appeared to you
